zcta,population_per_sq_mi,density_group,low_cutoff_per_sq_mi,high_cutoff_per_sq_mi
94586,16.922013,low,3720.121556,8714.461587
94514,237.375013,low,3720.121556,8714.461587
94552,284.188334,low,3720.121556,8714.461587
94550,300.154612,low,3720.121556,8714.461587
94551,774.055213,low,3720.121556,8714.461587
95391,1324.623589,low,3720.121556,8714.461587
94613,1411.882413,low,3720.121556,8714.461587
94542,1813.323694,low,3720.121556,8714.461587
94539,2154.589471,low,3720.121556,8714.461587
94588,2184.015469,low,3720.121556,8714.461587
94566,2217.153110,low,3720.121556,8714.461587
94545,2333.311236,low,3720.121556,8714.461587
94560,2367.618418,low,3720.121556,8714.461587
94555,2662.285543,low,3720.121556,8714.461587
94546,2925.717995,low,3720.121556,8714.461587
95377,2947.947711,low,3720.121556,8714.461587
94619,2979.616147,low,3720.121556,8714.461587
94587,3571.925589,low,3720.121556,8714.461587
94538,4016.513489,medium,3720.121556,8714.461587
94705,4020.187940,medium,3720.121556,8714.461587
94621,4206.891339,medium,3720.121556,8714.461587
94568,4400.868607,medium,3720.121556,8714.461587
94710,4422.299151,medium,3720.121556,8714.461587
94605,5016.488570,medium,3720.121556,8714.461587
94536,5197.978052,medium,3720.121556,8714.461587
94607,5273.339122,medium,3720.121556,8714.461587
94502,5615.866418,medium,3720.121556,8714.461587
94611,5808.179394,medium,3720.121556,8714.461587
94577,6022.254319,medium,3720.121556,8714.461587
94579,6992.189769,medium,3720.121556,8714.461587
94618,6993.635690,medium,3720.121556,8714.461587
94544,7283.602502,medium,3720.121556,8714.461587
94501,8088.776894,medium,3720.121556,8714.461587
94602,8165.488532,medium,3720.121556,8714.461587
94708,8330.665030,medium,3720.121556,8714.461587
94580,8906.359865,high,3720.121556,8714.461587
94578,8984.500959,high,3720.121556,8714.461587
94541,9355.084667,high,3720.121556,8714.461587
94720,10621.271513,high,3720.121556,8714.461587
94707,11192.379658,high,3720.121556,8714.461587
94608,12019.154722,high,3720.121556,8714.461587
94603,13595.089266,high,3720.121556,8714.461587
94702,13757.720049,high,3720.121556,8714.461587
94609,14158.230010,high,3720.121556,8714.461587
94706,14474.529590,high,3720.121556,8714.461587
94610,14947.707574,high,3720.121556,8714.461587
94703,16156.997842,high,3720.121556,8714.461587
94601,16930.919713,high,3720.121556,8714.461587
94606,17526.527542,high,3720.121556,8714.461587
94709,18522.889479,high,3720.121556,8714.461587
94612,20634.773528,high,3720.121556,8714.461587
94505,23812.845892,high,3720.121556,8714.461587
94704,29679.462344,high,3720.121556,8714.461587
