zcta,median_download_mbps,p75_download_mbps,advertised_download_mbps,performance_ratio,performance_ratio_p75,ratio_skip_reason,download_test_count,block_count
94501,50.538443,119.401663,1000.000000,0.050538,0.119402,,12603,571
94502,60.966536,117.499496,100.000000,0.609665,1.174995,,880,108
94505,77.015614,284.903705,10.000000,7.701561,28.490371,,1056,4
94514,3.047199,3.334630,10.000000,0.304720,0.333463,,2,5
94536,56.517370,129.604025,100.000000,0.565174,1.296040,,24902,437
94538,57.045149,127.305542,1000.000000,0.057045,0.127306,,27596,395
94541,52.064982,116.130173,1000.000000,0.052065,0.116130,,13676,383
94542,88.519825,220.273767,100.000000,0.885198,2.202738,,452,74
94544,79.575930,180.203512,1000.000000,0.079576,0.180204,,9226,487
94545,42.133039,89.490509,100.000000,0.421330,0.894905,,2408,238
94546,78.393507,177.046615,1000.000000,0.078394,0.177047,,7823,236
94551,79.812413,199.343860,100.000000,0.798124,1.993439,,9446,420
94552,21.111729,101.964645,75.000000,0.281490,1.359529,,535,109
94555,72.403718,178.497151,100.000000,0.724037,1.784972,,6998,235
94560,59.461228,147.500005,100.000000,0.594612,1.475000,,8852,279
94566,75.629579,180.083596,100.000000,0.756296,1.800836,,10851,346
94568,60.437884,169.068388,100.000000,0.604379,1.690684,,19615,325
94577,41.994150,116.210537,1000.000000,0.041994,0.116211,,6348,432
94578,88.090314,233.801311,1000.000000,0.088090,0.233801,,4473,262
94579,72.209364,194.600276,1000.000000,0.072209,0.194600,,1832,191
94580,40.122965,110.552572,1000.000000,0.040123,0.110553,,1041,216
94586,12.990535,42.191946,12.000000,1.082545,3.515995,,12,36
94587,33.789432,93.034624,100.000000,0.337894,0.930346,,12368,527
94588,79.815308,180.317637,50.000000,1.596306,3.606353,,4941,231
94601,51.587540,142.311282,1000.000000,0.051588,0.142311,,3367,381
94602,77.299588,174.009503,1000.000000,0.077300,0.174010,,4988,243
94603,23.771481,28.032703,1000.000000,0.023771,0.028033,,2070,290
94605,49.470585,151.719402,1000.000000,0.049471,0.151719,,4180,396
94606,35.740216,125.160040,100.000000,0.357402,1.251600,,7338,355
94607,84.329798,160.541995,100.000000,0.843298,1.605420,,5236,401
94608,117.619072,490.938921,1000.000000,0.117619,0.490939,,3297,346
94610,63.789163,145.942725,1000.000000,0.063789,0.145943,,6366,213
94611,88.726094,209.407628,1000.000000,0.088726,0.209408,,15305,351
94612,80.490806,204.221765,100.000000,0.804908,2.042218,,1924,158
94613,53.641444,151.538202,1000.000000,0.053641,0.151538,,1935,1
94618,37.082056,120.937983,1000.000000,0.037082,0.120938,,5709,200
94621,13.381318,40.992680,100.000000,0.133813,0.409927,,3411,267
94702,68.649876,254.725715,100.000000,0.686499,2.547257,,756,194
94703,84.282426,230.468349,100.000000,0.842824,2.304683,,4357,192
94704,65.900667,72.930802,100.000000,0.659007,0.729308,,7,122
94705,110.617554,315.874612,1000.000000,0.110618,0.315875,,2465,157
94706,34.691867,84.598484,1000.000000,0.034692,0.084598,,648,171
94707,85.372015,196.169676,100.000000,0.853720,1.961697,,3777,141
94708,66.799790,198.880264,1000.000000,0.066800,0.198880,,1982,116
94709,71.513885,203.964906,100.000000,0.715139,2.039649,,2020,83
94710,132.255589,244.029519,100.000000,1.322556,2.440295,,336,176
95391,113.539662,322.362763,10.000000,11.353966,32.236276,,2947,1
